study,prenr,year,field,glescomp,survey,Fortlaufende,STARTH,STARTMIN,STARTSEC,starttime,ENDEH,ENDEMIN,ENDESEC,endtime,DAUER,TEXT,SPRECHER,UNTERBR,MODFRAGE,STRATEGI,VALENZ,INHALT,CHARAKTE,THEMA,ZEIT,POLHAND,KONKR,OBJ,POLEB,BULA,OBJ1,OBJ1S,OBJ1P,OBJ2,OBJ2S,OBJ2P,GRPDARST,HUMOR,METAPHER,SCHIMPF,ZAHLEN,LAGE,WERTE,STATISTI,BEISPIEL,HISTORIE,ZITAT
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",1,0,0,28,28,0,0,49,49,21,"Guten Abend aus Berlin liebe Zuschauerinnen und Zuschauerinnen zu diesem Duell zweitausendneun natürlich auch im Namen meiner Kollegen. Dieses Duell ist ein besonderes Duell. In vierzehn Tagen findet die Bundestagswahl statt, wir sind im Jahr eins der größten Welt- und Finanzkrise seit dem Krieg und wir werden regiert von einer großen Koalition.",Illner,nein,offene Frage,trifft nicht zu,trifft nicht zu,Politik,trifft nicht zu,TV-Duell selbst/Zeitkonten,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",2,0,0,49,49,0,1,20,80,31,"Kanzlerin und Vizekanzler – vier Jahre lang haben sie miteinander regiert und jetzt soll damit Schluss sein. Ab dem siebenundzwanzigsten September. -- Zum ersten Mal treffen sie in diesem Wahlkampf hier als Gegner direkt aufeinander. Es ist wohl auch das einzige Mal, dass sie in diesem Wahlkampf so aufeinander treffen, so gesehen eine einzigartige Veranstaltung und ich prophezeie mal, dass wir wahrscheinlich in dieser Konstellation auch nur dieses eine Mal aufeinander treffen werden. Ich begrüße hier im Studio Bundeskanzlerin Angela Merkel und Vizekanzler Frank Walter Steinmeier.",Klöppel,nein,offene Frage,trifft nicht zu,trifft nicht zu,Politik,trifft nicht zu,TV-Duell selbst/Zeitkonten,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",3,0,1,20,80,0,1,34,94,14,"Herr Steinmeier, wenn nicht jetzt, wann dann? Erklären Sie den Wählern, erklären Sie Frau Merkel, der können Sie es gleich ins Gesicht sagen, erklären Sie doch nochmal, warum Angela Merkel nach der Wahl nicht mehr Bundeskanzlerin sein soll.",Plasberg,nein,offene Frage,trifft nicht zu,trifft nicht zu,Charakter,Führungsqualitäten,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",4,0,1,34,94,0,1,38,98,4,"Herr Plasberg, weil's ne bessere Alternative gibt. Nämlich mich.",Steinmeier,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Charakter,Führungsqualitäten,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,ja,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",5,0,1,38,98,0,1,47,107,9,Worum geht's denn am siebenundzwanzigsten September? Am siebenundzwanzigsten September ist Bundestagswahl und da geht's um die Richtung von Politik.,Steinmeier,nein,trifft nicht zu,keine Strategie,trifft nicht zu,Politik,trifft nicht zu,Bereich Bundestagswahlkampf,Zukunft,Nichts davon,trifft nicht zu,kein Bezugsobjekt,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",6,0,1,47,107,0,1,59,119,12,"Frau Merkel ist ja heute nicht hier als die Kanzlerin der großen Koalition, sondern als Kandidatin für Schwarz-Gelb. Und da gibt's Unterschiede. Und die Unterschiede müssen wir heute Abend deutlich machen.",Steinmeier,nein,trifft nicht zu,keine Strategie,trifft nicht zu,Politik,trifft nicht zu,Bereich Bundestagswahlkampf,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",7,0,1,59,119,0,2,21,141,22,"Bevor ich zu den Unterschieden komme, aber vielleicht ein Blick auf die große Koalition, auf die letzten vier Jahre zurück. Da haben wir, Frau Merkel und ich, denk ich, ordentlich miteinander zusammen gearbeitet, wir haben vieles erreicht. Manches, insbesondere seit dem September in den Maßnahmen gegen die Krise, vielleicht nur deshalb, weil es die große Koalition gab.",Steinmeier,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Koalitionen allgemein,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Nullaussage,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,inkludierende Darstellung,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",8,0,2,21,141,0,2,26,146,5,"Aber wir haben nicht alles erreicht. Auch wir sind unter unseren Möglichkeiten geblieben, in vielen",Steinmeier,nein,trifft nicht zu,Selbstkritik,trifft nicht zu,Politik,trifft nicht zu,POLITCS,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Nullaussage,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,inkludierende Darstellung,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",9,0,2,26,146,0,2,31,151,5,"Bereichen deshalb, weil die CDU das ein oder andere nicht mitgetragen hat,",Steinmeier,nein,trifft nicht zu,Angriff,Explizit,Politik,trifft nicht zu,POLITCS,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Nullaussage,singulär,Bundesebene,trifft nicht zu,CDU,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",10,0,2,31,151,0,2,33,153,2,"bei den Mindestlöhnen zum Beispiel, aber",Steinmeier,nein,trifft nicht zu,Angriff,Explizit,Politik,trifft nicht zu,Mindestlohn speziell,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Allgemeine Darstellung,singulär,Bundesebene,trifft nicht zu,CDU,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,ja,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",11,0,2,33,153,0,2,38,158,5,auch bei der Begrenzung der Managergehälter. Das hätte den Menschen geholfen.,Steinmeier,nein,trifft nicht zu,Angriff,Explizit,Politik,trifft nicht zu,Sonderthema Managergehälter,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Konkrete Aussage,singulär,Bundesebene,trifft nicht zu,CDU,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",12,0,2,38,158,0,2,42,162,4,"Haben wir gerade eben erlebt, was Sie unter Mobilisierung der SPD-Wählerschaft verstehen?",Plasberg,nein,kritische Frage,trifft nicht zu,trifft nicht zu,Politik,trifft nicht zu,Bereich Bundestagswahlkampf,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",13,0,2,42,162,0,2,49,169,7,"Jedenfalls geht es darum, Herr Plasberg. So habe ich Ihre Einladung hierher verstanden, dass man Unterschiede auch deutlich macht, darum geht's.",Steinmeier,nein,trifft nicht zu,keine Strategie,trifft nicht zu,Politik,trifft nicht zu,Bereich Bundestagswahlkampf,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Moderatoren,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",14,0,2,49,169,0,2,57,177,8,"Und ich sage Ihnen ganz offen, ich stelle mir das so vor, dass Demokratie davon lebt und nur lebt, wenn sozialer Ausgleich gewährleistet ist.",Steinmeier,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Bereich Sozialpolitik,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,"Bürger, Wähler, Volk",trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,ja,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",15,0,2,57,177,0,3,4,184,7,"Dafür will ich sorgen mit einer Regierung, die von der SPD geführt wird nach dem siebenundzwanzigsten September.",Steinmeier,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Bereich Bundestagswahlkampf,Zukunft,Ankündigung zukünftiger Pläne,Nicht sinnvoll,singulär,Bundesebene,trifft nicht zu,SPD,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",16,0,3,4,184,0,3,9,189,5,"Ich bin dafür und will dafür sorgen, dass Verantwortung und Vernunft in die Wirtschaft zurückkehrt.",Steinmeier,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Bereich Wirtschaftspolitik,Zukunft,Ankündigung zukünftiger Pläne,Gemeinplatz,singulär,Bundesebene,trifft nicht zu,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,ja,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",17,0,3,9,189,0,3,12,192,3,Ich will für Arbeit von Morgen sorgen und,Steinmeier,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,"Arbeitslosigkeit, Arbeitslosenzahlen",Zukunft,Ankündigung zukünftiger Pläne,Gemeinplatz,singulär,Bundesebene,trifft nicht zu,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",18,0,3,12,192,0,3,19,199,7,"dafür, dass kein Rückweg in die Atomkraft stattfindet. Dafür stehe ich und dafür werbe ich um Unterstützung, ja.",Steinmeier,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Sonderthema Atomausstieg,Zukunft,Ankündigung zukünftiger Pläne,Konkrete Aussage,singulär,Bundesebene,trifft nicht zu,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",19,0,3,19,199,0,3,38,218,19,"Führungskräfte sollen ja eigentlich nicht schlecht über den Stellvertreter reden, Frau Merkel mit einer Ausnahme, wenn der Mann tatsächlich am Stuhl der Chefin sägt. Was ja hier klar der Fall ist. Also, Sie können ohne Rücksicht sprechen zu uns, zu Herrn Steinmeier, und ihm sagen, warum er der schlechtere Bundeskanzler wäre.",Limbourg,nein,offene Frage,trifft nicht zu,trifft nicht zu,Politik,trifft nicht zu,Bereich Bundestagswahlkampf,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",20,0,3,38,218,0,3,46,226,8,"Also, erst einmal finde ich, sollte gesagt werden, dass diese große Koalition in der Tat gut gearbeitet hat unter meiner Führung.",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Koalitionen allgemein,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Nullaussage,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,exkludierende Darstellung,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",21,0,3,46,226,0,4,6,246,20,"Ich will nochmal erinnern, als ich 2005 Bundeskanzlerin wurde, da hatte Deutschland über 5 Millionen Arbeitslose im Winter zweifünf, zweisechs. Das haben wir Ende, bis Ende 2008 auf unter 3 Millionen gebracht. Das zeigt, die unionsgeführte Bundesregierung hat hier vieles vorangebracht und das hat dem Land gut getan.",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,"Arbeitslosigkeit, Arbeitslosenzahlen",Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Konkrete Aussage,singulär,Bundesebene,trifft nicht zu,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,ja,positive Anmutung,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",22,0,4,5,245,0,4,16,256,11,"Denn auch heute, selbst in der Krise, haben wir noch über eine Million mehr sozialversicherungspflichtige Beschäftigungsverhältnisse. Das bedeutet für Millionen von Familien eine bessere Situation.",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Bereich Arbeitsmarktpolitik,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,positive Anmutung,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",23,0,4,16,256,0,4,25,265,9,"Ich glaube, dass wir aber diesen Kurs noch entschlossener fahren könnten, dass entschiedener manchen Weg in mehr Arbeit gehen könnten.",Merkel,nein,trifft nicht zu,Selbstkritik,trifft nicht zu,Politik,trifft nicht zu,"Arbeitslosigkeit, Arbeitslosenzahlen",Zukunft,Ankündigung zukünftiger Pläne,Gemeinplatz,singulär,Bundesebene,trifft nicht zu,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",24,0,4,25,265,0,4,35,275,10,"Und deshalb werbe ich für eine neue Regierung, wobei ich nicht anstehe zu sagen, dass wir gut miteinander gearbeitet haben, dass wir vieles auf den Weg gebracht haben.",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Koalitionen allgemein,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Nullaussage,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,inkludierende Darstellung,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",25,0,4,35,275,0,4,43,283,8,"Aber es war eben nötig, aus Rot-Grün erst einmal eine große Koalition zu machen unter einer Unionsführung, um soweit fortzukommen.",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Koalitionen allgemein,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Nicht sinnvoll,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,inkludierende Darstellung,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",26,0,4,43,283,0,4,48,288,5,"Aber Frau Merkel das klingt mehr nach Duett und weniger nach Duell. Sie sollen ja jetzt, eigentlich war die Frage, Steinmeier sagen, warum er der schlechtere Bundeskanzler wäre.",Limbourg,nein,offene Frage,trifft nicht zu,trifft nicht zu,Politik,trifft nicht zu,Bereich Bundestagswahlkampf,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",27,0,4,48,288,0,4,59,299,11,"Ich beantworte die Fragen so, wie ich mir das vorgenommen habe. Und ich glaube, die Definition, was ein Duell und was ein Duett ist, die überlassen wir mal den Zuschauerinnen und Zuschauern draußen.",Merkel,nein,trifft nicht zu,keine Strategie,trifft nicht zu,Politik,trifft nicht zu,TV-Duell selbst/Zeitkonten,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",28,0,4,59,299,0,5,3,303,4,"Ich sage ganz einfach, die große Koalition hat gute Arbeit gemacht und jetzt brauchen",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Koalitionen allgemein,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Nullaussage,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,inkludierende Darstellung,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",29,0,5,3,303,0,5,14,314,11,wir in der schwersten Krise seit den dreißiger Jahren wirklich eine entschiedene Politik für mehr Arbeit und da braucht es noch mehr Union in der Bundesregierung.,Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Wirtschafts-/ Finanzkrise speziell,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,CDU/CSU (Unionsparteien),trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,negative Anmutung,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",30,0,5,14,314,0,5,28,328,14,"Frau Merkel, wenn es nicht das Duell wäre, könnte man denken, wir sind bei Ehen vor Gericht. Steht zu erwarten, dass wir in den nächsten neunzig Minuten lauter Argumente geliefert bekommen, warum diese Vernunftsehe an ein hoffnungsloses Ende geraten ist?",Illner,nein,kritische Frage,trifft nicht zu,trifft nicht zu,Politik,trifft nicht zu,Koalitionen allgemein,trifft nicht zu,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",31,0,5,28,328,0,5,39,339,11,"Also, wir versuchen Ihre Fragen zu beantworten, ich jedenfalls und dann würde ich sagen, lassen se uns doch erst mal in medias res gehen, eh wir nun schon darüber richten, ob es es Duell, ein Duett oder sonst was war.",Merkel,nein,trifft nicht zu,keine Strategie,trifft nicht zu,Politik,trifft nicht zu,TV-Duell selbst/Zeitkonten,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",32,0,5,39,339,0,5,46,346,7,"Die Vergangenheit war gut und da werden Sie mich auch nicht davon abbringen, dass wir vieles auf den Weg gebracht haben. Das zeigen doch auch die Zahlen.",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,POLITCS,Vergangenheit,Beschreibung gemachter/nicht-gemachter Politik,Allgemeine Darstellung,singulär,Bundesebene,trifft nicht zu,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,inkludierende Darstellung,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",33,0,5,46,346,0,5,53,353,7,"Aber, ich sage nochmal, auch für eine Demokratie ist es gut, glaube ich, wenn große Koalitionen nicht die Normalität sind.",Merkel,nein,trifft nicht zu,Selbstpräsentation,trifft nicht zu,Politik,trifft nicht zu,Koalitionen allgemein,Gegenwart/Allgemeingültig/nicht erkennbar,trifft nicht zu,trifft nicht zu,singulär,Bundesebene,trifft nicht zu,Politik/Parteien allgemein,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,nein,nein,nein,nein,neutral/nicht vorhanden,nein,nein,nein,nein,nein
